,Ruta,Operador,Tipo de vuelo,Tipo de aeronave,Registro,Total a bordo,Pasajeros a bordo,Personal a bordo,Cantidad de fallecidos,Pasajeros fallecidos,Personal fallecidos,Accidente terrestre,Año,Tasa_Mortalidad_Anual
564,"Cheyenne, Wyoming",United Air Lines,San Francisco - Cheyenne - Chicago,Douglas DC-4,N30051,41.0,37.0,4.0,2.0,2.0,0.0,0.0,1946,4.878048780487805
565,"Near Sefrou, Morocco",Air Ocean,Paris - Casablanca,Junkers Ju-52/3m,F-BCAA,16.0,11.0,5.0,16.0,11.0,5.0,0.0,1946,100.0
566,"Laramie, Wyoming",National Air Transport Services,Oakland - Chicago,Douglas DC-3,NC38942,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1946,100.0
567,"Gebel Kalamoun, Egypt",Socotra,Paris - Cairo,Junkers JU-52/3m,F-BCHD,24.0,22.0,2.0,1.0,1.0,0.0,0.0,1946,4.166666666666666
568,"St Leger-la-Montagne, France",CTA Languedoc Roussillon,Paris - Toulouse - Casablanca,AAC-1 Toucan,F-BCAD,27.0,24.0,3.0,23.0,20.0,3.0,0.0,1946,85.18518518518519
569,"Cleveland, Ohio",United Air Lines,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),N19947,20.0,17.0,3.0,2.0,0.0,2.0,0.0,1946,10.0
570,"Lebec, California",Western Airlines,Palmdale - Burbank,Douglas C-53D-DO (DC-3),NC18645,11.0,8.0,3.0,11.0,8.0,3.0,0.0,1946,100.0
571,"Near Cofre de Perote, Mexico",Empressa Commun. Aéreas de Veracruz,Mexico City - Veracruz,Douglas DC-3,XA-FOZ,15.0,12.0,3.0,15.0,12.0,3.0,0.0,1946,100.0
572,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,London - Amsterdam,Douglas C-47A-90 DL (DC-3),PH-TBW,26.0,21.0,5.0,26.0,21.0,5.0,0.0,1946,100.0
573,"Toledo, Washington",Military - U.S. Marine Corps,"Miramar NAS, California - Sand Point NB, Seattle",Curtiss-Wright R5C-1,39528,32.0,29.0,3.0,32.0,29.0,3.0,0.0,1946,100.0
574,"Mt. Banahaur, Philippines",Far Eastern Air Transport,Grace Park AF - Lucena,Douglas DC-3 (C-47-B-1-DK),PI-C-1,14.0,10.0,4.0,12.0,9.0,3.0,0.0,1946,85.71428571428571
575,"Caribbean, Atlantic Ocean",Winged Cargo Inc.,"Kingston, Jamaca - San Jose",Douglas C-47A,NC88876,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1946,100.0
576,"Near Rio de Janeiro, Brazil",FAMA (Argentina),London - Buenos Aires.,Avro  685 York I,LV-XIG,21.0,15.0,6.0,21.0,15.0,6.0,0.0,1946,100.0
577,"Near San Diego, California",Western Airlines,Holtville - San Diego,Douglas DC-3 ( C-53D-DO),NC45395,12.0,9.0,3.0,12.0,9.0,3.0,0.0,1946,100.0
578,"Walshville, Illinois",Kansas City Southern Skyways,"Flint, MI - Washville, IL",Douglas C-47A,NC58024,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1946,100.0
579,"Near Shannon, Ireland",Trans Continental and Western Air,Paris - Shannon,Lockheed 049 Consellation,NC86505,23.0,14.0,9.0,13.0,9.0,4.0,0.0,1946,56.52173913043478
580,"Michigan City, Indiana",American Airlines,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),N15577,21.0,18.0,3.0,2.0,0.0,2.0,0.0,1946,9.523809523809524
581,"Tsingtao, China",China National Aviation Corporation,Shanghai - Tsingtao - Beijing,Curtis C-46,XT-T51,43.0,38.0,5.0,43.0,38.0,5.0,0.0,1947,100.0
582,"Carmel, New Jersey",Nationwide Air Transport,Miami - Raleigh - Washington,Douglas DC-3,N50046,23.0,20.0,3.0,3.0,2.0,1.0,0.0,1947,13.043478260869565
583,"Near Lympne, England",British Overseas Airways,London - Bordeaux  - Lagos,Douglas C-47A-1-DK,G-AGJX,16.0,11.0,5.0,8.0,4.0,4.0,0.0,1947,50.0
584,"Off Laoag, China",Far Eastern Air Transport,Shanghai - Manila,Douglas DC-4 (C-54A-DO),PI-C100,42.0,37.0,5.0,7.0,7.0,0.0,0.0,1947,16.666666666666664
585,"Near Galax, Virginia",Eastern Air Lines,"Akron, OH - Winston/Salem, NC",Douglas DC-3,NC88872,19.0,16.0,3.0,18.0,15.0,3.0,0.0,1947,94.73684210526315
586,"Near Puebla, Mexico",Military - Mexican Air Force,Puebla - Oaxaca,Lockheed C-60 Lodestar,60-03,21.0,17.0,4.0,21.0,17.0,4.0,0.0,1947,100.0
587,"Puesto Araujo, Colombia",AVIANCA,Bogota - Barrancabermeja,Douglas DC-3 ( C-47-DO),C-108,17.0,13.0,4.0,17.0,13.0,4.0,0.0,1947,100.0
588,"Croydon, Surrey, England",Spencer Airways / Ceskoslovenske Aerolinie,Croydon - Rome - Salisbury,Douglas C-47 / Douglas DC-3,VP-YFD/OK-WDB,23.0,18.0,5.0,12.0,11.0,1.0,0.0,1947,52.17391304347826
589,"Copenhagen, Denmark",KLM Royal Dutch Airlines,Kobenhavn - Stockholm,Douglas C- C47A-30DK,PH-TCR,22.0,18.0,4.0,22.0,18.0,4.0,0.0,1947,100.0
590,"Near Lisbon, Portugal",Air France,Paris - Bordeaux - Lisbon,Douglas DC-3C,F-BAXQ,20.0,15.0,5.0,19.0,14.0,5.0,0.0,1947,95.0
591,"Harrington, Delaware",International Air Freight,"New York, NY - Raleigh, NC",Douglas DC-3,NC54451,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1947,33.33333333333333
592,"Pedro Bernardo, Spain",Aerovias Cuba International,Havana - Lisbon - Madrid,Douglas C-54B-15-DO,NC44567,11.0,8.0,3.0,11.0,8.0,2.0,0.0,1947,100.0
593,"Denver, Colorado",Slick Airways,"Omaha, NE - Denver, CO",Curtiss C-46E,NC59486,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1947,100.0
594,"Near Bogota, Colombia",AVIANCA,Barranquilla - Bogota,Douglas DC-4,C-114,53.0,49.0,4.0,53.0,49.0,4.0,0.0,1947,100.0
595,"Off Terracina, Italy",Military - Corrieri Aerei Militari,Rome - Cairo,Savoia-Marchetti SM-95,I-ABQH,16.0,10.0,6.0,16.0,10.0,6.0,0.0,1947,100.0
596,"China Sea, Pacific Ocean",Military - Royal Air Force,Singapore - Siagon,Douglas C-47B,KK120,12.0,9.0,3.0,12.0,9.0,3.0,0.0,1947,100.0
597,"Near Georgia, USSR",Aeroflot,Tbilisi - Moscow - Vnoukovo,Doublas C-47,CCCP-L952,23.0,19.0,4.0,23.0,19.0,4.0,0.0,1947,100.0
598,"L'isola di Ischia, Italy",Military - Royal Air Force,Hassani - Rome - Northolt,Douglas C-47B,KK122,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1947,100.0
599,"Cordillera, Colombia",VIARCO,Villavicencio - Bogota,Douglas C-47-DL,C-400,9.0,5.0,4.0,9.0,5.0,4.0,0.0,1947,100.0
600,"Mt. Moucherolles, France",Air France,Lyons - Nice - Paris,Douglas DC-3 (C-47A-90-DL),F-BAXO,23.0,18.0,5.0,23.0,18.0,5.0,0.0,1947,100.0
601,"Near Medellin, Colombia",TACA,"Medellin, Colombia - San Jose, Costa Rica",Lockheed 18 Lodestar,YS-28,8.0,5.0,3.0,8.0,5.0,3.0,0.0,1947,100.0
602,"Negombo, Sri Lanka",Military - Royal Air Force,Negombo - Northolt,Avro York C1,MW198,15.0,9.0,6.0,11.0,7.0,4.0,0.0,1947,73.33333333333333
603,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,Cumana - Caracas,Douglas C-47A,YV-C-ALO,27.0,24.0,3.0,27.0,24.0,3.0,0.0,1947,100.0
604,"Off Dakar, Senegal",British South American Airways,Lisbon - Dakar,Avro 685 York I,G-AHEZ,15.0,9.0,6.0,6.0,6.0,0.0,0.0,1947,40.0
605,"Columbus, Georgia",Delta Air Lines,Macon - Columbus,Douglas DC-3 (C-47DL) /Vultee BT-13,N49657 / N55312,10.0,8.0,2.0,10.0,8.0,2.0,0.0,1947,100.0
606,"Near Vancouver, British Columbia, Canada",Trans Canada Air Lines,Lethbridge - Vancouver,Lockheed 18 Loadstar,CF-TDF,15.0,12.0,3.0,15.0,12.0,3.0,0.0,1947,100.0
607,"Near Nicoya, Guanacaste, Costa Rica",TACA,Nicoya - San Jose,Lockheed 18 Loadstar,TI-84,11.0,9.0,2.0,11.0,9.0,2.0,0.0,1947,100.0
608,"Delaware Bay, New Jersey",Trans Continental and Western Air,Training,Lockheed L-049 Constellation,NC86508,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1947,100.0
609,"Near Khabarovsk, Russia",Aeroflot,Nikolayevsk-on-Amur - Khabarovsk,Douglas DC-47,CCCP-L1048,22.0,17.0,5.0,22.0,17.0,5.0,0.0,1947,100.0
610,"La Guardia Airport, Queens, New York",United Air Lines,New York City - Cleveland,Douglas C-54B,NC30046,48.0,44.0,4.0,43.0,41.0,2.0,0.0,1947,89.58333333333334
611,"Atsugi, Japan",Military - U.S. Army Air Forces,Seoul - Tachikawa,Douglas C-54D-DC (DC-4),42-72553,40.0,33.0,7.0,40.0,33.0,7.0,0.0,1947,100.0
612,"Hjedinsfjordur, Iceland",Flugefelag,Reykjavík - Akureyri,Douglas DC-3,TF-ISI,25.0,21.0,4.0,25.0,21.0,4.0,0.0,1947,100.0
613,"Port Deposit, Maryland",Eastern Air Lines,Newark - Baltimore - Miami,Douglas C-54B-15-DO,NC88814,53.0,49.0,4.0,53.0,49.0,4.0,0.0,1947,100.0
614,"Near Gemenos, France",Air France,Marseille - Lyon,Junkers Ju-52,F-BANB,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1947,100.0
615,"Near Natal, Brazil",Flota Aérea Mercante Argentina,Buenos Aires - Natal - London,Avro 691 Lancastrian,LV-ACS,18.0,13.0,5.0,5.0,3.0,2.0,0.0,1947,27.77777777777778
616,"Leesburg, Virginia",Pennsylvania Central Airlines,Pittsburgh - Washington D.C.,Douglas DC-4 (C-54-DO),NC88842,50.0,47.0,3.0,50.0,47.0,3.0,0.0,1947,100.0
617,"Al Mayadin, Syria",Pan American World Airways,Karachi - Istanbul,Lockheed 049-46-21 Constellation,NC88845,36.0,27.0,9.0,14.0,7.0,7.0,0.0,1947,38.88888888888889
618,"Near Eaeka, French Cameroons",Air France,Bangu i- Yaoundé - Douala,Junkers JU-52/3m,F-BALF,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1947,100.0
619,"Melbourne, Florida",Burke Air Transport,Newark - Miami,Douglas DC-3,NC79024,36.0,33.0,3.0,14.0,12.0,2.0,0.0,1947,38.88888888888889
620,"Az-Zubair, Iran",British Overseas Airways,Cairo - Basrah,Avro 685 York,G-AGMR,6.0,0.0,6.0,6.0,0.0,6.0,0.0,1947,100.0
621,"Moron, Argentina",Flota Aérea Mercante Argentina,Test flight,Avro 685 York I,LV-XIH,6.0,0.0,6.0,2.0,0.0,2.0,2.0,1947,33.33333333333333
622,"Andes, Argentina",British South American Airways,Buenos Aires - Santiago,Avro 691 Lancastrian 3,G-AGWH,11.0,6.0,5.0,11.0,6.0,5.0,0.0,1947,100.0
623,North Pacific Ocean,Military - U.S. Navy,Kodiak - Dutch Harbor,Consolidated PBY-5A Catalina,34032,20.0,15.0,5.0,20.0,15.0,5.0,0.0,1947,100.0
624,"New York, New York",American Airlines,New York - Buffalo,Douglas DC-3C,NX88787,5.0,3.0,2.0,3.0,1.0,2.0,0.0,1947,60.0
625,"Malmo, Sweden",AB Aerotransport,Amsterdam - Malmo,Douglas DC-3F,SE-BAY,5.0,0.0,5.0,1.0,0.0,1.0,0.0,1947,20.0
626,"Bucharest, Romania",Transporturile Aeriene Romano-Sovietice,Constanta - Bucharest,Lisunov Li-2,YR-TAV,8.0,5.0,3.0,3.0,3.0,0.0,0.0,1947,37.5
627,"Bahrain, Persian Gulf",British Overseas Airways,Karachi - Bahrain,Short Sandringham 5 (flying boat),G-AHZB,26.0,18.0,8.0,10.0,7.0,3.0,0.0,1947,38.46153846153847
628,"Harsiad, Norway",Norwegian Airlines,Tromso - Oslo,Short Sandringham (flying boat),LN-IAV,35.0,27.0,8.0,35.0,27.0,8.0,0.0,1947,100.0
629,"Near El Paso, Texas",American Airlines,New York City - Dallas - Los Angeles,Douglas DC-4,NC90432,54.0,49.0,5.0,0.0,0.0,0.0,0.0,1947,0.0
630,"Ocean, 800 miles east of Newfoundland",American International Airways,"Foynes, Ireland - Botwood, Newfoundland - New York",Boeing 314A,NC18612,69.0,62.0,7.0,0.0,0.0,0.0,0.0,1947,0.0
631,"Off Cartegena, Spain",Societe Aerienne du Littoral,Marseille - Oran,Bristol 170 Freighter I,F-BCJN,43.0,39.0,4.0,41.0,38.0,4.0,0.0,1947,95.34883720930233
632,"Bryce Canyon, Utah",United Air Lines,Los Angeles - New York City,Douglas DC-6,NC37510,53.0,48.0,5.0,53.0,48.0,5.0,0.0,1947,100.0
633,"Near Mt. Hymettus, Greece",AB Aerotransport,Istanbul-Athens-Rome-Geneve-Copenhagen-Stockholm,Douglas DC-4-1009,SE-BBG,44.0,36.0,8.0,44.0,36.0,8.0,0.0,1947,100.0
634,"Annette Island, Alaska",Pan American World Airways,Seattle - Juneau,Douglas DC-4A,NC88920,18.0,13.0,5.0,18.0,13.0,5.0,0.0,1947,100.0
635,"Newcastle, Delaware",Trans Continental and Western Air,Training,Lockheed L-049-46-26 Constellation,NC86507,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1947,100.0
636,"Ravello, Italy",Trafik-Turist-Transportflyg,Catania - Rome,Bristol 170 Freighter XI,SE-BNG,25.0,21.0,4.0,20.0,16.0,4.0,0.0,1947,80.0
637,"Phouznicie, Romania",TARS,Bucurest - Prague,Lisunov Li-2,YR-TAI,26.0,21.0,5.0,13.0,8.0,5.0,0.0,1947,50.0
638,"Yakutat, Alaska",Columbia Air Cargo,Fairbanks - Yakutat,Douglas DC-3C,NC95486,13.0,11.0,2.0,13.0,11.0,2.0,0.0,1947,100.0
639,"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Zagreb - Titograd,Lisunov LI-2,YU-BAD,22.0,19.0,3.0,22.0,19.0,3.0,0.0,1947,100.0
640,"Seattle, Washington",Alaska Airlines,Anchorage - Seattle,Douglas C-54A,NC-91009,28.0,25.0,3.0,8.0,7.0,1.0,1.0,1947,28.57142857142857
641,"Near Goose Bay, Labrador",Military - U.S. Air Force,"Goose Bay - Westover Field, MS",Douglas C-54D-DC (DC-4),42-72572,29.0,25.0,4.0,23.0,22.0,1.0,0.0,1947,79.3103448275862
642,"Near Memphis, Tennessee",Military - U.S. Air Force,El Paso - Memphis,Douglas C-47-DK,44-76366,20.0,16.0,4.0,20.0,16.0,4.0,0.0,1947,100.0
643,"Krasnoyarsk, Russia",Aeroflot,Krasnoyarsk - Omsk,Ilyushin IL-12,CCCP-L1343,25.0,20.0,5.0,9.0,3.0,4.0,0.0,1947,36.0
644,"Korangi Creek, India",Air India,Karachi - Bombay,Douglas DC-3 (C-47),VT-AUG,23.0,19.0,4.0,23.0,19.0,4.0,0.0,1947,100.0
645,"Leon, Mexico",Servicio Aéreo Panini,Dorango - Leon - Mexico City,Douglas DC-2-172,XA-GEE,10.0,7.0,3.0,5.0,3.0,2.0,3.0,1947,50.0
646,"Paris, France",Air France,Brussels - Paris,Douglas DC-3D,F-BAXC,16.0,11.0,5.0,16.0,11.0,5.0,0.0,1948,100.0
647,"Ruislip, England",British European Airways,Renfrew - Northolt,Vickers 610 Viking 1B,G-AHPK,18.0,14.0,4.0,1.0,0.0,1.0,0.0,1948,5.555555555555555
648,"Near Savannah, Georgia",Coastal Air Lines,Charlston - Savannah,Douglas DC-3,N60331,27.0,25.0,2.0,18.0,17.0,1.0,0.0,1948,66.66666666666666
649,"Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,Algiers - Biskra,Douglas DC-3,F-BDLG,9.0,7.0,2.0,9.0,7.0,2.0,0.0,1948,100.0
650,"Ciudad Havajillo, Dominican Republic",Dominicana,Santa Cruz de Barahona - Santiago de los Caballeros,Douglas DC-3,HI-6,32.0,29.0,3.0,32.0,29.0,3.0,0.0,1948,100.0
651,"Oxon Hill, Maryland",Eastern Air Lines,Atlanta - Washington D.C.,Douglas DC-3-201F,NC28384,9.0,6.0,3.0,5.0,3.0,2.0,0.0,1948,55.55555555555556
652,"Diablo Mts., California",Airline Transport Carriers,Burbank - Oakland,Douglas DC-3 (C-47B-DK),NC36480,32.0,29.0,3.0,32.0,29.0,3.0,0.0,1948,100.0
653,"Atlantic Ocean, NE of Bermuda",British South American Airways,London - Havana,Avro 688 Tudor I,G-AHNP,31.0,25.0,6.0,31.0,25.0,6.0,0.0,1948,100.0
654,"Off Jacksonville, Florida",Eastern Air Lines,Boston- NY-West Palm Beach- Miami,Lockheed L-649 Constellation,NC112A,69.0,63.0,6.0,1.0,0.0,1.0,0.0,1948,1.4492753623188406
655,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Bandung - Jakarta - Banjoemans - Semarang,Douglas DC-3,PK-REA,19.0,15.0,4.0,19.0,15.0,4.0,0.0,1948,100.0
656,"Ubrichstein, Germany",Det Danske Luftfartselskab,Giessen - Bad Homberg,Douglas DC-3,OY-DCI,21.0,17.0,4.0,12.0,8.0,4.0,0.0,1948,57.14285714285714
657,"Collesalvetti,  Italy",Società Aerea Teseo,Florence - Pisa - Rome,Douglas C-47-DL,I-REGI,10.0,7.0,3.0,7.0,4.0,3.0,0.0,1948,70.0
658,"Columbus, Ohio",Bruning Aviation,"Pittsburgh, PA - Columbus, OH",Douglas C-47A,NC36498,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1948,100.0
659,"Near Belem, Brazil",Military - Brazilian Air Force,Rio de Janeiro - Bele - Cayenne,Douglas C-47,2040,26.0,20.0,6.0,23.0,17.0,6.0,0.0,1948,88.46153846153845
660,"Off Perpignan, France",Société de Transports Aériens,Oran - Perpignan - Lyon,Junkers Ju-52/3m,F-BBYC,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1948,100.0
661,"Heathrow Airport, London, England",Sabena,Brussels - London,Douglas DC-3,OO-AWH,22.0,19.0,3.0,20.0,17.0,3.0,0.0,1948,90.9090909090909
662,"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Vestmannaeyjar - Reykjavik,Avro Anson,TF-RVL,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1948,100.0
663,"Chicago, Illinois",Delta Air Lines,Chicago - Miami,Douglas DC-4,NC37478,13.0,9.0,4.0,12.0,8.0,4.0,0.0,1948,92.3076923076923
664,"Mt. Sanford, Alaska",Northwest Orient Airlines,Anchorage - New York City,Douglas DC-4 (C-54G-1-DO),NC95422,30.0,24.0,6.0,30.0,24.0,6.0,0.0,1948,100.0
665,"Villa Pinzon, Colombia",Agencia Interamericana de Aviada,El Secreto - Bogota,Douglas DC-3 (C47-DL),C-1002,14.0,10.0,4.0,14.0,10.0,4.0,0.0,1948,100.0
666,"Monte Cardo, Corsica, France",Indian National Airlines,Delhi - Rome - London,Vickers 604 Viking 1B,VT-CEL,19.0,15.0,4.0,19.0,15.0,4.0,0.0,1948,100.0
667,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,London - Berlin,Vickers Viking 1B & Soviet YAK-3 fighter,G-AIVP,14.0,10.0,4.0,14.0,10.0,4.0,0.0,1948,100.0
668,"Kano, Nigeria",Air France,Lagos - Kano - Algiers - Paris,Douglas DC-4,F-BBDC,6.0,0.0,6.0,1.0,0.0,1.0,0.0,1948,16.666666666666664
669,"Shannon, Ireland",Pan American World Airways,Belgium - Shannon,Lockheed L-049-46 Constellation,NC-88858,31.0,21.0,10.0,30.0,20.0,10.0,0.0,1948,96.7741935483871
670,Territory of New Guinea,New Guinea Air Traders,Lae - Bulolo,Lockheed Hudson IIIA,VH-ALA,37.0,33.0,4.0,37.0,33.0,4.0,0.0,1948,100.0
671,Near Irkutsk Russia,Aeroflot,Kirensk - Badaybo,Lisnov Li-2,CCCP-L4460,29.0,25.0,4.0,28.0,24.0,4.0,0.0,1948,96.55172413793103
672,"Mount Coron, France",Skyways of London,Croydon - Paris - Cannes,de Havilland Dove 1,G-AJOU,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1948,100.0
673,"Near Magazini, Belgian Congo (Zaire)",Sabena,Leopoldville - Libenga,Douglas DC-4-1009,OO-CBE,32.0,25.0,7.0,31.0,24.0,7.0,0.0,1948,96.875
674,"Vrede, South Africa",Mercury Aviation,Durban - Johannesburg - London,Douglas DC-3-455,ZS-BWY,13.0,8.0,5.0,13.0,8.0,5.0,0.0,1948,100.0
675,"Columbus, Ohio",Slick Airways,"Newark, NJ - Chicago, IL",Curtiss C-46E,NC59489,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1948,100.0
676,"Near Bovingdon, England",Air Transport Charter,Valence - Bovingdon,Douglas C-47A,G-AJBG,4.0,0.0,4.0,3.0,0.0,3.0,0.0,1948,75.0
677,"Khabarovsk, Russia",Aeroflot,Petropavlovsk-Kamchatsky - Magadan,Douglas C-47,CCCP-L1073,9.0,5.0,4.0,8.0,4.0,4.0,0.0,1948,88.88888888888889
678,"Albacete, Spain",Alpha Airways,Albacete - Albacete,Handley Page Halifax C-8,G-AKBA,4.0,0.0,4.0,4.0,0.0,4.0,1.0,1948,100.0
679,Isle of Man,Hargreaves Airways,"Birmingham, England - Isle of Man",de Havilland DH-89A Dragon Rapide,G-AIUI,8.0,7.0,1.0,6.0,5.0,1.0,0.0,1948,75.0
680,"Mount Carmel, Pennsylvania",United Air Lines,Chicago - New York City,Douglas DC-6,NC37506,43.0,39.0,4.0,43.0,39.0,4.0,0.0,1948,100.0
681,"Keerbergen, Belgium",Avio Linee Italiane,Milano - Brussels,Fiat G.212CP,I-ELSA,12.0,7.0,5.0,8.0,4.0,4.0,0.0,1948,66.66666666666666
682,"Northolt, Middlesex, England",Scandinavian Airlines (SAS),Stockholm - Amsterdam - Northolt,Douglas DC-6 / RAF York,SE-BDA/ MW248,39.0,26.0,13.0,39.0,26.0,13.0,0.0,1948,100.0
683,"Djiring, French Indo-China",Aigle Azur,Saigon - Da Lat,Douglas DC-3,F-BCYP,16.0,13.0,3.0,16.0,13.0,3.0,0.0,1948,100.0
684,Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,Macau - Hong Kong,Consolidated OA-10 Catalina,VR-HDT,26.0,23.0,3.0,25.0,22.0,3.0,0.0,1948,96.15384615384616
685,"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Port Meunier - Gaspé,Douglas DC-3,CF-FKY,29.0,27.0,2.0,29.0,27.0,2.0,0.0,1948,100.0
686,"Buenos Aires, Argentina",ALFA,Rosario - Bueno Aires,Short Sandringham 2 (flying boat),LV-AAP,24.0,18.0,6.0,18.0,16.0,2.0,0.0,1948,75.0
687,"Tsingtao, China",Civil Air Transport,Qingdao - Jinan,Curtiss C-46D-20-CU,XT-822,19.0,16.0,3.0,19.0,16.0,3.0,0.0,1948,100.0
688,"Karachi, Pakistan",Onzeair,Chaklala – Mauripur,Avro 691 Lancastrian (flying boat),AP-ACM,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1948,100.0
689,"1,200 miles off Dakar, Atlantic Ocean",Air France,Fort-de-France - Port-Etienne - Paris,Latecoere 631 (flying boat),F-BDRC,52.0,40.0,12.0,52.0,40.0,12.0,0.0,1948,100.0
690,"Port Underwood, New Zealand",New Zealand National Airways,Blenheim - Paraparaumu,Douglas C-47B,ZK-AOE,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1948,100.0
691,"La Guaira, Venezuela",Avensa,Maiquetía - Las Piedras - Maracaibo,Douglas C-47A,YV-C-AVN,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1948,100.0
692,"Near Winona, Minnesota",Northwest Orient Airlines,Chicago - Minneapolis,Martin 202,NC93044,37.0,33.0,4.0,37.0,33.0,4.0,0.0,1948,100.0
693,"Near Elizabethville, Belgium Congo",Sabena,Manono - Elizabethville,Douglas DC-3 (Douglas C-47A-10-DK),OO-CBL,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1948,100.0
694,"Near Quirindi, Australia",Australian National Airways,Brisbane - Sidney,Douglas DC-3,VH-ANK,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1948,100.0
695,"Balkhash, Kazakhstan",Aeroflot,Alma Ata - Balkhash - Karaganda - Moscow,Lisunov LI-2,CCCP-L4304,15.0,11.0,4.0,15.0,11.0,4.0,0.0,1948,100.0
696,"Near Trondheim, Norway",Norwegian Airlines,Fornebu - Hommelvik,Short Sandringham 6 (flying boat),LN-IWA,45.0,38.0,7.0,19.0,16.0,3.0,0.0,1948,42.22222222222222
697,"Near Yevlakh, Azerbaijan, USSR",Aeroflot,Tashkent - Baku - Tbilisi - Sochi,Ilyushin Il12,CCCP-L1450,10.0,4.0,6.0,10.0,4.0,6.0,0.0,1948,100.0
698,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Amsterdam - Prestwick - New York City,Lockheed 049-46-25 Constellation,PH-TEN,40.0,30.0,10.0,40.0,30.0,10.0,0.0,1948,100.0
699,"Mt. Ruapehu, New Zealand",New Zealand National Airways,Palmerston - Hamilton,Lockheed 10A Electra,ZK-AGK,13.0,10.0,3.0,13.0,10.0,3.0,0.0,1948,100.0
700,"Georgian SSR, USSR",Aerflot,Krasnodar - Karachayevsk - Sukhumi - Tbilisi,Lisunov Li-2,CCCP-L4500,18.0,14.0,4.0,18.0,14.0,4.0,0.0,1948,100.0
701,"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Minneapolis - Edmonton - Anchorage - Tokyo,Douglas C-54A,NC88785,5.0,0.0,5.0,2.0,0.0,2.0,0.0,1948,40.0
702,"Near Glossop, England",Military - U.S. Air Force,RAF Scrampton - Burtonwood AFB,Boeing B-29A Superfortress,44-61999,13.0,0.0,13.0,13.0,0.0,13.0,0.0,1948,100.0
703,"Cape Spencer, Alaska",Pacific Alaska Air Freight,Anchorage - Homer - Yakutat - Annette Island - Seattle,Douglas DC-3,N66637,17.0,15.0,2.0,17.0,15.0,2.0,0.0,1948,100.0
704,"Mt. Macedon, Australia",Australian National Airways,Melbourne - Denilquin,Douglas DC-3,VH-UZK,23.0,19.0,4.0,3.0,0.0,3.0,0.0,1948,13.043478260869565
705,"Liverpool, England",Mannin Airways,"Isle of Man - Dublin, Ireland",de Havilland DH-89A Dragon Rapide,G-AKOF,8.0,6.0,2.0,7.0,5.0,2.0,0.0,1948,87.5
706,"Vehari, Pakistan",Pakistan Airways,Karachi - Lohore,Douglas DC-3,AP-ACE,21.0,16.0,5.0,21.0,16.0,5.0,0.0,1948,100.0
707,"Kiangwan, China",Central Air Transport,Chengdu - Shanghai,Curtiss C-46,XT-538,40.0,37.0,3.0,9.0,7.0,2.0,0.0,1948,22.5
708,"Milan, Italy","Avio Linee ItalianeAvio Linee Italiane",Milan - Brussels,Douglas C-47,I-ETNA,7.0,6.0,1.0,7.0,6.0,1.0,0.0,1948,100.0
709,"Near Bogata, Colombia",LANSA,Bogota - Barranquilla,Douglas C-47,C-310,30.0,27.0,3.0,30.0,27.0,3.0,0.0,1948,100.0
710,"Near Pilos, Greece",Ceskoslovenske Aerolinie,Rome - Athens,Douglas DC-3,OK-WDE,24.0,19.0,5.0,24.0,19.0,5.0,0.0,1948,100.0
711,"Basalt Island, Hong Kong",China National Aviation Corporation,Shanghai - Hong Konk,Douglas C-54B-5-DO,XT-104,33.0,29.0,4.0,33.0,29.0,4.0,0.0,1948,100.0
712,"Near Madrid, Spain",Iberia Airlines,Madrid - Barcelona,Douglas DC-3 (C-47-DL),EC-ABK,27.0,24.0,3.0,27.0,24.0,3.0,0.0,1948,100.0
