,Ruta,Operador,Tipo de vuelo,Tipo de aeronave,Registro,Total a bordo,Pasajeros a bordo,Personal a bordo,Cantidad de fallecidos,Pasajeros fallecidos,Personal fallecidos,Accidente terrestre,Año,Tasa_Mortalidad_Anual
34,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,"H-NADUH-NADU",11.0,9.0,2.0,1.0,0.0,1.0,0.0,1927,9.090909090909092
35,"Hadley, New Jersey",Reynolds Airways,Sightseeing,Fokker F-VII,NC776,12.0,11.0,1.0,7.0,6.0,1.0,0.0,1927,58.333333333333336
36,Atlantic Ocean,Private,Old Orchad Beach - Rome,Fokker F7,NX703,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1927,100.0
37,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,D-585,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1927,100.0
38,"Thies, Mauritania",Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,F-AGBN,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1927,100.0
39,"Strasburg, France",CIDNA,Strasbourg - Paris,Farman F-121 Jabiru,F-AIBR,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1927,100.0
40,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,K-SALD,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1927,100.0
41,"Almeria, Spain",Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFGS,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1927,100.0
42,"Near Marseille,France",Latecoere Airlines,Test flight,Latécoère 23 (flying boat),F-AIHP,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1927,100.0
43,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,NC3780,3.0,1.0,2.0,3.0,1.0,2.0,0.0,1928,100.0
44,"Solis, Uruguay",Aeropostale,Buenos Aires - Montevideo,Latecoere 25,F-AIKG,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1928,100.0
45,"L'Hospitalet, Ariège",Aeropostale,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,F-AHEQ,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1928,100.0
46,"Tarragona, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AHEQ,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1928,100.0
47,"Almeria, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFHN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1928,100.0
48,"Off Cape Griz Nez, France",Air Union,Paris - Croydon,Farman F-60 Goliath,F-AEFC,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1928,100.0
49,"Minuesa, Spain",Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,M-CCCC,9.0,7.0,2.0,9.0,7.0,2.0,0.0,1928,100.0
50,"Dearborn, Minnesota",Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,NC1492,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1928,100.0
51,"Radevormwald, Germany",Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,5.0,4.0,1.0,3.0,2.0,1.0,0.0,1928,60.0
52,"Lebo, Kansas",National Air Transport,Chicago - Dallas,Douglas M-4,NC1059,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1928,100.0
53,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,K-SALB,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1928,100.0
54,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,G-EBLB,6.0,5.0,1.0,4.0,4.0,0.0,0.0,1928,66.66666666666666
55,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,6.0,5.0,1.0,1.0,1.0,0.0,0.0,1928,16.666666666666664
56,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1928,100.0
57,"Toul, France",CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5.0,2.0,3.0,5.0,2.0,3.0,0.0,1928,100.0
58,"Adelaide Hills, Australia",Qantas,Adelaide - Longreach,de Havilland DH.50J,G-AUHI,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1928,50.0
59,"Pocatello, Idaho",National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,NC7242,7.0,6.0,1.0,7.0,6.0,1.0,0.0,1928,100.0
60,"Gerona, Spain",Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,"F-AEEJF-AEEJ",3.0,2.0,1.0,3.0,2.0,1.0,0.0,1928,100.0
61,"Valence, France",Air Union,Paris - Lyon - Marseille,Bleriot Spad 56,F-AIMN,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1928,50.0
62,"Edgerton, Ohio",Universal Airlines,Cleveland - Chicago,Hamilton H-47,NC7521,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1928,100.0
63,"Edgerton, Ohio",Continental Air Lines,Cleveland - Louisville,Travel Air 4000,NC5436,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1928,100.0
64,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1928,100.0
65,"Near Rio de Janeiro,Brazil",Syndicato Condor,Sightseeing,Dornier Wal,P-BACA,14.0,9.0,5.0,14.0,9.0,5.0,0.0,1928,100.0
66,"Spokan, Washington",Spokane Airways,Colfax - Spokane,Ford Tri-motor 4,NC7687,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1928,100.0
67,"Letzlingen, Germany",Deutsche Lufthansa,Cologne -  Berlin,Junkers G-31,D-1473,4.0,1.0,3.0,3.0,0.0,3.0,0.0,1928,75.0
68,"Huron, Ohio",National Air Transport,Cleveland - Chicago,Douglas M-4,NC790,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1928,100.0
69,"Reims, France",CIDNA,Strasbourg - Paris,Blériot Spad 66,F-AEHX,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1928,66.66666666666666
70,"Cove, Oregon",Varney Air Lines,"Boise, ID - Pasco, WA",Stearman C-38,NC1682,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1929,100.0
71,"Near Corfu, Greece",Aeroespresso,Brindisi - Athens - Istanbul,CMASA Wal,I-AZDA,9.0,7.0,2.0,2.0,7.0,2.0,0.0,1929,22.22222222222222
72,Off Morocco,Aeropostale,Agadir - Casablanca,Latecoere 26,"F-AIMUF-AIMU",2.0,0.0,2.0,2.0,0.0,2.0,0.0,1929,100.0
73,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,15.0,13.0,2.0,14.0,13.0,1.0,0.0,1929,93.33333333333333
74,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1929,100.0
75,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,6.0,3.0,3.0,6.0,3.0,3.0,0.0,1929,100.0
76,"Tampico, Mexico",Mexicana,"Tampico - Brownsville, TX",Ford Tri-motor 4,M-SCAL,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1929,100.0
77,Algiers,Aeropostale,Algiers - Marseille,Cams 53,F-AISX,6.0,3.0,3.0,4.0,3.0,2.0,0.0,1929,66.66666666666666
78,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,NC9700,5.0,1.0,4.0,2.0,1.0,1.0,0.0,1929,40.0
79,"Barcelona, Spain",Aeropostale,Janeiro - Buenos Aires,Breguet 14,F-AFEJ,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1929,50.0
80,"Off Dungeness, England",Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,G-EBMT,13.0,11.0,2.0,7.0,7.0,0.0,0.0,1929,53.84615384615385
81,"St. Paul, Minnesota",Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,8.0,6.0,2.0,1.0,0.0,1.0,0.0,1929,12.5
82,"Elm, Germany",Deutsche Lufthansa,Frankfurt - Berlin,Fokker FG II,D-757,5.0,4.0,1.0,4.0,3.0,1.0,0.0,1929,80.0
83,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,8.0,5.0,3.0,8.0,5.0,3.0,0.0,1929,100.0
84,"Jask, Iran",Imperial Airways,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,5.0,2.0,3.0,3.0,1.0,2.0,0.0,1929,60.0
85,North Atlantic Ocean,Aeropostale,"Toulouse, France - Casablanca, Morocco",Latecoere 25,F-AIUJ,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1929,100.0
86,"Saint Catharines, Ontario",Skyways,Sightseeing,Travel Air 6000,CF-ABE,6.0,5.0,1.0,6.0,5.0,1.0,0.0,1929,100.0
87,"Off Larache, Morocco",Aeropostale,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Latecoere 25-3-R,F-AIUJ,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1929,100.0
88,"Off Spezia, Italy",Imperial Airways,Naples - Genoa,Short Calcutta (flying boat),G-AADN,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1929,100.0
89,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton - Seattle,Loening C-2C,NC9158,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1929,100.0
90,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,NC46M,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1929,100.0
91,"Near Godstone, Surrey, England",Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers G-24,D-903,8.0,4.0,4.0,7.0,3.0,4.0,0.0,1929,87.5
92,"Off Corsica, France",Air Union,Marseille - Ajaccio - Tunis,Liore et Olivier 190,F-AIGB,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1929,100.0
93,"Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,"Cagliari, Terranova - Rome",Savoia Marchetti S55,I-TACO,12.0,9.0,3.0,1.0,1.0,0.0,0.0,1929,8.333333333333332
94,"Near Berlin, Germany",Deutsche Lufthansa,Marseille - Berlin,Arado V1,D-1594,3.0,0.0,2.0,2.0,0.0,2.0,0.0,1929,66.66666666666666
95,"Antananarivo, Madagascar",Air Orient,Antananarivo - Paris,Farman 190,F-AJJK,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1930,100.0
96,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,16.0,14.0,2.0,16.0,14.0,2.0,0.0,1930,100.0
97,"Off Ceuta, Spain",Aeropostale,Casablanca - Alicante,Latecoere 25,F-AJCL,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1930,100.0
98,"Hartford, Connecticut",Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,NC801H,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1930,100.0
99,"Marden, England",Air Union,Paris - Croydon,Farman F-63,F-FHMY,6.0,3.0,3.0,2.0,2.0,0.0,0.0,1930,33.33333333333333
100,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,NC9148,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1930,100.0
101,"Buenos Aires, Argentina",Aeropostale,Buenos Aires - Montevideo,Latecoere 28,F-AJPD,4.0,2.0,2.0,3.0,1.0,2.0,0.0,1930,75.0
102,"Boston, Massachusetts",Colonial Air Transport,Boston - Newark,Ford Tri-Motor 5,NC9675,15.0,13.0,2.0,1.0,1.0,0.0,0.0,1930,6.666666666666667
103,"Bornholm, Denmark",Deutsche Lufthansa,Stettin - Norway,Dornier Wal,D-864,8.0,5.0,3.0,5.0,4.0,1.0,0.0,1930,62.5
104,"Arkansas Pass, Texas",Cross Airways,Port Aransas - Kansas City,Lockheed Vega 5,NC-394H,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1930,100.0
105,"Near Meopham, Kent, England",Walcot Air Line,"London - Le touquet, France",Junkers F-13ge,G-AAZK,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1930,100.0
106,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-AT-C Tri Motor,OK-FOR,11.0,10.0,1.0,10.0,9.0,1.0,0.0,1930,90.9090909090909
107,"Croydon, England",Sabena,Croydon - Brussels,Sabca F-VII,OO-AIN,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1930,100.0
108,"Edmonton, Alberta, Canada",Western Canada Airways,Calgary - Moosejaw,Boeing 40,CF-AIN,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1930,100.0
109,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,D-1930,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1930,100.0
110,"La Rache, Morocco",Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,F-AJUU,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1930,100.0
111,"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,G-EBIX,6.0,3.0,3.0,3.0,2.0,1.0,0.0,1930,50.0
112,"Off of Santos, Brazil",Syndicato Condor,Porto Alegre - Laguna - Rio de Janeiro,Junkers G-24,P-BAHA,9.0,8.0,1.0,1.0,1.0,0.0,0.0,1930,11.11111111111111
113,"Melle, Belgium",Sabena,Brussels - London,Fokker F-VII,OO-AIL,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,100.0
114,"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,NC741K,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,100.0
115,"Wairoa, New Zealand",Dominion Air Lines,Gisborne - Hastings,Desoutter II,ZK-ACA,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1931,100.0
116,Off Spain,Aeropostale,Algiers – Marseille,Latecoere 32,F-AITX,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1931,33.33333333333333
117,"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,VH-UMF,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1931,100.0
118,"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1931,100.0
119,"Burbank, California",Pacific Air Transport,San Diego - Los Angeles,Boeing 40,NC5390,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,100.0
120,"Wampit, Australia",Guiena Airways,Lae - Bulolo,Junkers W-34,VH-UNR,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,100.0
121,"Near Sandoway, Burma",Air Orient,Saigon - Karachi,Fokker F-VIIB,PH-AEO,4.0,0.0,4.0,4.0,0.0,4.0,0.0,1931,100.0
122,"Saarbrucken, Germany",Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,D-1455,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1931,100.0
123,"Chicago, Illinois",Braniff Airlines,Chicago - Detroit,Lockheed Vega,NC8497,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,100.0
124,"Kurudjevo, Bulgaria",CIDNA,Constantinople - Budapest,Fokker F-VII,F-ALGT,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1931,100.0
125,"Cincinnati, Ohio",American Airways,Cincinnati - Atlanta,Ford 5-AT-C Tri Motor,NC9662,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1931,100.0
126,"Near Craiova, Oltenia, Romania",CIDNA,Paris - Bucharest,Fokker F-VIIb-3m,F-AIGT,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1931,100.0
127,"Oakland, California",Pacific Air Transport,"Oakland, CA - Seattle, WA",Boeing 40,NC10347,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1931,100.0
128,"Novia Scotia, Canada",Deutsche Lufthansa,Sydney - New York,Heinkel HE-2,D-1717,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1931,100.0
129,"Camden, New Jersey","NY, Phil., Washington AW","Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,NC12221,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1931,100.0
130,"Sir Lowry's pass, South Africa",Union Airways,Durban - Cape Town,De Havilland DH.80,ZS-ACD,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1931,100.0
131,"Pasco, Washington",Varney Air Lines,"Portland,  OR - Pasco, WA",Boeing 40,NC10338,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1931,100.0
132,"Kewanee, Illinois",Braniff Airways,Kansas City - Chicago,Lockheed Vega 5,NC433E,6.0,5.0,1.0,2.0,2.0,0.0,0.0,1931,33.33333333333333
133,"Bangkok, Thailand",KLM Royal Dutch Airlines,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,PH-AFO,7.0,3.0,4.0,5.0,2.0,3.0,0.0,1931,71.42857142857143
134,Off Algiers,Aeropostale,Marseille - Algiers,CAMS 56,F-AIOX,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1931,100.0
135,"Colvin Park, Ilinois",Northwest Airways,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,NC443H,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,100.0
136,"Lebec, California",Century Pacific Lines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,NC10813,8.0,7.0,1.0,8.0,7.0,1.0,0.0,1932,100.0
137,"Marcellus, Michigan",Transamerican Airlines,Chicago - Kalamazoo,Stearman C-3MB,NC6411,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,100.0
138,"Saint Louis, Illinois",Century Air Lines,Training,Stinson SM-6000B,NC11122,5.0,0.0,5.0,3.0,0.0,3.0,0.0,1932,60.0
139,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,NC652E,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1932,100.0
140,"Steubenville, Ohio",Trans Continental and Western Air,Columbus - McKeesport,Northrop Alpha 3,NC966Y,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,100.0
141,"Rutbah Wells, Iraq",Air Orient,Damascus - Baghdad - Karachi,Farman F-190,"F-AJDPF-AJDP",3.0,1.0,2.0,3.0,1.0,2.0,0.0,1932,100.0
142,"Burbank, California",Pacific Air Transport,San Diego - Burbank - Oakland,Boeing 40,NC5589,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1932,100.0
143,"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,NC403H,9.0,6.0,3.0,9.0,6.0,3.0,0.0,1932,100.0
144,"Beyrouth, Lebanon",Air Orient,Marseille - Naples - Beyrouth - Saigon,CAMS 53,F-AIQY,7.0,3.0,4.0,0.0,0.0,0.0,0.0,1932,0.0
145,"Tubergen, Germany",A B Aerotransport,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,SE-AAE,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1932,100.0
146,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,NC9716,4.0,2.0,2.0,3.0,1.0,2.0,0.0,1932,75.0
147,"Byron Bay, Australia",New England Airways,Sydney - Lismore - Brisbane,De Havilland DH-80,VH-UPM,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1932,100.0
148,"Port Etienne, Mauritania",Aeropostale,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,F-AJIP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1932,100.0
149,"Ramsgate, England",Deutsche Lufthansa,London - Cologne - Berlin,Junkers W-33,D-2017,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1932,100.0
150,"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,D-724,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1932,100.0
151,"Marianna, Arkansas",Hunter Airways,"Little Rock, AR - Memphis, TN",Travel Air 6000,NC369M,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1932,100.0
152,"Newark, New Jersey",Eastern Air Transport,Test flight,Curtiss Condor 18,NC185H,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1933,100.0
153,"Bourne, Texas",American Airways,Big Springs - San Antonio,Stearman 4,NC11721,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1933,100.0
154,"Near Mendoza, Argentina",Pan American Grace Airways,"Mendoza, Argentina - Santiago, Chili",Fairchild FC-2W,NC9723,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1933,100.0
